Numero de la station;Nom de la station;Jour;Heure;tm;glot;um
OLMOS001;Olmos Cretaceous;04-01-2002 15:00:00;16;19.3;1980.0;84.5
OLMOS001;Olmos Cretaceous;04-01-2002 16:00:00;17;21.7;1276.0;73.6
OLMOS001;Olmos Cretaceous;04-01-2002 17:00:00;18;23.4;584.0;76.6
OLMOS001;Olmos Cretaceous;04-01-2002 18:00:00;19;21.3;0.0;67.7
OLMOS001;Olmos Cretaceous;04-01-2002 19:00:00;20;22.2;14.0;70.2
OLMOS001;Olmos Cretaceous;04-01-2002 20:00:00;21;23.8;15.0;72.6
OLMOS001;Olmos Cretaceous;04-01-2002 21:00:00;22;24.4;0.0;72.2
OLMOS001;Olmos Cretaceous;04-01-2002 22:00:00;23;24.5;0.0;66.9
OLMOS001;Olmos Cretaceous;04-01-2002 23:00:00;24;23.1;33.0;71.1
OLMOS001;Olmos Cretaceous;05-01-2002 00:00:00;1;21.5;0.0;77.8
OLMOS001;Olmos Cretaceous;05-01-2002 01:00:00;2;21.4;23.0;77.1
OLMOS001;Olmos Cretaceous;05-01-2002 02:00:00;3;21.5;0.0;75.9
OLMOS001;Olmos Cretaceous;05-01-2002 03:00:00;4;17.5;0.0;74.0
OLMOS001;Olmos Cretaceous;05-01-2002 04:00:00;5;18.2;2.0;77.5
OLMOS001;Olmos Cretaceous;05-01-2002 05:00:00;6;15.8;23.0;87.3
OLMOS001;Olmos Cretaceous;05-01-2002 06:00:00;7;16.3;35.0;87.4
OLMOS001;Olmos Cretaceous;05-01-2002 07:00:00;8;15.3;585.0;79.9
OLMOS001;Olmos Cretaceous;05-01-2002 08:00:00;9;15.0;1200.0;81.4
OLMOS001;Olmos Cretaceous;05-01-2002 09:00:00;10;15.0;2010.0;77.1
OLMOS001;Olmos Cretaceous;05-01-2002 10:00:00;11;16.6;2022.0;82.0
OLMOS001;Olmos Cretaceous;05-01-2002 11:00:00;12;15.8;2141.0;79.9
OLMOS001;Olmos Cretaceous;05-01-2002 12:00:00;13;17.7;2318.0;76.5
OLMOS001;Olmos Cretaceous;05-01-2002 13:00:00;14;19.8;2311.0;81.5
OLMOS001;Olmos Cretaceous;05-01-2002 14:00:00;15;21.3;1994.0;72.7
OLMOS001;Olmos Cretaceous;05-01-2002 15:00:00;16;19.1;1805.0;72.0
OLMOS001;Olmos Cretaceous;05-01-2002 16:00:00;17;22.0;1170.0;71.4
OLMOS001;Olmos Cretaceous;05-01-2002 17:00:00;18;21.7;578.0;70.9
OLMOS001;Olmos Cretaceous;05-01-2002 18:00:00;19;22.5;0.0;70.4
OLMOS001;Olmos Cretaceous;05-01-2002 19:00:00;20;23.2;41.0;70.5
OLMOS001;Olmos Cretaceous;05-01-2002 20:00:00;21;20.9;19.0;68.7
OLMOS001;Olmos Cretaceous;05-01-2002 21:00:00;22;21.2;0.0;68.4
OLMOS001;Olmos Cretaceous;05-01-2002 22:00:00;23;21.2;0.0;70.4
OLMOS001;Olmos Cretaceous;05-01-2002 23:00:00;24;22.6;0.0;77.7
OLMOS001;Olmos Cretaceous;06-01-2002 00:00:00;1;22.4;0.0;77.7
OLMOS001;Olmos Cretaceous;06-01-2002 01:00:00;2;20.3;24.0;69.8
OLMOS001;Olmos Cretaceous;06-01-2002 02:00:00;3;16.4;0.0;78.9
OLMOS001;Olmos Cretaceous;06-01-2002 03:00:00;4;19.0;0.0;82.0
OLMOS001;Olmos Cretaceous;06-01-2002 04:00:00;5;19.1;73.0;87.5
OLMOS001;Olmos Cretaceous;06-01-2002 05:00:00;6;16.8;0.0;84.3
OLMOS001;Olmos Cretaceous;06-01-2002 06:00:00;7;16.7;10.0;89.4
OLMOS001;Olmos Cretaceous;06-01-2002 07:00:00;8;15.2;584.0;80.5
OLMOS001;Olmos Cretaceous;06-01-2002 08:00:00;9;17.6;1300.0;81.9
OLMOS001;Olmos Cretaceous;06-01-2002 09:00:00;10;16.3;1674.0;86.4
OLMOS001;Olmos Cretaceous;06-01-2002 10:00:00;11;15.2;2120.0;80.8
OLMOS001;Olmos Cretaceous;06-01-2002 11:00:00;12;16.3;2165.0;77.1
OLMOS001;Olmos Cretaceous;06-01-2002 12:00:00;13;16.3;2579.0;73.0
OLMOS001;Olmos Cretaceous;06-01-2002 13:00:00;14;21.1;2325.0;68.2
OLMOS001;Olmos Cretaceous;06-01-2002 14:00:00;15;20.2;2369.0;76.5
OLMOS001;Olmos Cretaceous;06-01-2002 15:00:00;16;18.5;1677.0;77.3
OLMOS001;Olmos Cretaceous;06-01-2002 16:00:00;17;20.3;1242.0;73.0
OLMOS001;Olmos Cretaceous;06-01-2002 17:00:00;18;23.9;645.0;78.0
OLMOS001;Olmos Cretaceous;06-01-2002 18:00:00;19;23.8;0.0;64.8
OLMOS001;Olmos Cretaceous;06-01-2002 19:00:00;20;23.4;25.0;74.1
OLMOS001;Olmos Cretaceous;06-01-2002 20:00:00;21;24.1;0.0;70.1
OLMOS001;Olmos Cretaceous;06-01-2002 21:00:00;22;24.5;3.0;66.2
OLMOS001;Olmos Cretaceous;06-01-2002 22:00:00;23;24.5;37.0;68.0
OLMOS001;Olmos Cretaceous;06-01-2002 23:00:00;24;21.3;0.0;68.4
OLMOS001;Olmos Cretaceous;07-01-2002 00:00:00;1;19.7;54.0;75.5
OLMOS001;Olmos Cretaceous;07-01-2002 01:00:00;2;17.3;0.0;75.8
OLMOS001;Olmos Cretaceous;07-01-2002 02:00:00;3;18.5;0.0;81.8
OLMOS001;Olmos Cretaceous;07-01-2002 03:00:00;4;20.9;11.0;76.6
OLMOS001;Olmos Cretaceous;07-01-2002 04:00:00;5;18.1;22.0;84.1
OLMOS001;Olmos Cretaceous;07-01-2002 05:00:00;6;16.3;0.0;72.4
OLMOS001;Olmos Cretaceous;07-01-2002 06:00:00;7;18.1;74.0;78.9
OLMOS001;Olmos Cretaceous;07-01-2002 07:00:00;8;15.0;644.0;84.6
OLMOS001;Olmos Cretaceous;07-01-2002 08:00:00;9;16.9;1287.0;82.9
OLMOS001;Olmos Cretaceous;07-01-2002 09:00:00;10;15.0;1854.0;84.9
OLMOS001;Olmos Cretaceous;07-01-2002 10:00:00;11;15.0;1985.0;90.1
OLMOS001;Olmos Cretaceous;07-01-2002 11:00:00;12;15.3;2608.0;85.8
OLMOS001;Olmos Cretaceous;07-01-2002 12:00:00;13;16.9;2368.0;85.7
OLMOS001;Olmos Cretaceous;07-01-2002 13:00:00;14;19.7;2231.0;75.9
OLMOS001;Olmos Cretaceous;07-01-2002 14:00:00;15;21.5;2242.0;86.5
OLMOS001;Olmos Cretaceous;07-01-2002 15:00:00;16;18.7;1508.0;78.0
OLMOS001;Olmos Cretaceous;07-01-2002 16:00:00;17;21.5;1328.0;65.0
OLMOS001;Olmos Cretaceous;07-01-2002 17:00:00;18;22.6;662.0;76.9
OLMOS001;Olmos Cretaceous;07-01-2002 18:00:00;19;25.0;0.0;74.8
OLMOS001;Olmos Cretaceous;07-01-2002 19:00:00;20;24.9;64.0;66.9
OLMOS001;Olmos Cretaceous;07-01-2002 20:00:00;21;20.9;0.0;60.9
OLMOS001;Olmos Cretaceous;07-01-2002 21:00:00;22;25.8;5.0;73.5
OLMOS001;Olmos Cretaceous;07-01-2002 22:00:00;23;22.1;0.0;70.4
OLMOS001;Olmos Cretaceous;07-01-2002 23:00:00;24;22.9;0.0;63.2
OLMOS001;Olmos Cretaceous;08-01-2002 00:00:00;1;21.4;57.0;71.7
OLMOS001;Olmos Cretaceous;08-01-2002 01:00:00;2;19.6;0.0;73.4
OLMOS001;Olmos Cretaceous;08-01-2002 02:00:00;3;19.5;16.0;80.8
OLMOS001;Olmos Cretaceous;08-01-2002 03:00:00;4;18.0;0.0;75.2
OLMOS001;Olmos Cretaceous;08-01-2002 04:00:00;5;20.7;0.0;80.1
OLMOS001;Olmos Cretaceous;08-01-2002 05:00:00;6;16.1;0.0;86.6
OLMOS001;Olmos Cretaceous;08-01-2002 06:00:00;7;15.4;0.0;86.9
OLMOS001;Olmos Cretaceous;08-01-2002 07:00:00;8;15.0;628.0;86.0
OLMOS001;Olmos Cretaceous;08-01-2002 08:00:00;9;15.0;1267.0;77.5
OLMOS001;Olmos Cretaceous;08-01-2002 09:00:00;10;15.0;1865.0;92.5
OLMOS001;Olmos Cretaceous;08-01-2002 10:00:00;11;18.2;1963.0;83.8
OLMOS001;Olmos Cretaceous;08-01-2002 11:00:00;12;18.8;2609.0;79.8
OLMOS001;Olmos Cretaceous;08-01-2002 12:00:00;13;18.0;2589.0;79.0
OLMOS001;Olmos Cretaceous;08-01-2002 13:00:00;14;17.4;2377.0;75.9
OLMOS001;Olmos Cretaceous;08-01-2002 14:00:00;15;20.6;2051.0;77.0
OLMOS001;Olmos Cretaceous;08-01-2002 15:00:00;16;18.8;1852.0;72.9
OLMOS001;Olmos Cretaceous;08-01-2002 16:00:00;17;25.3;1266.0;75.1
OLMOS001;Olmos Cretaceous;08-01-2002 17:00:00;18;22.1;524.0;75.4
OLMOS001;Olmos Cretaceous;08-01-2002 18:00:00;19;21.7;29.0;66.7
OLMOS001;Olmos Cretaceous;08-01-2002 19:00:00;20;21.4;0.0;72.5
OLMOS001;Olmos Cretaceous;08-01-2002 20:00:00;21;23.2;41.0;71.4
OLMOS001;Olmos Cretaceous;08-01-2002 21:00:00;22;23.4;48.0;66.4
OLMOS001;Olmos Cretaceous;08-01-2002 22:00:00;23;22.8;0.0;63.8
OLMOS001;Olmos Cretaceous;08-01-2002 23:00:00;24;22.4;0.0;72.2
OLMOS001;Olmos Cretaceous;09-01-2002 00:00:00;1;22.7;0.0;70.5
OLMOS001;Olmos Cretaceous;09-01-2002 01:00:00;2;22.5;34.0;72.1
OLMOS001;Olmos Cretaceous;09-01-2002 02:00:00;3;18.8;0.0;74.4
OLMOS001;Olmos Cretaceous;09-01-2002 03:00:00;4;16.6;21.0;79.2
OLMOS001;Olmos Cretaceous;09-01-2002 04:00:00;5;18.3;45.0;76.6
OLMOS001;Olmos Cretaceous;09-01-2002 05:00:00;6;15.6;0.0;86.6
OLMOS001;Olmos Cretaceous;09-01-2002 06:00:00;7;18.5;0.0;82.8
OLMOS001;Olmos Cretaceous;09-01-2002 07:00:00;8;16.6;537.0;91.3
OLMOS001;Olmos Cretaceous;09-01-2002 08:00:00;9;15.0;1323.0;76.9
OLMOS001;Olmos Cretaceous;09-01-2002 09:00:00;10;15.0;1799.0;88.0
OLMOS001;Olmos Cretaceous;09-01-2002 10:00:00;11;15.0;2379.0;79.7
OLMOS001;Olmos Cretaceous;09-01-2002 11:00:00;12;15.0;2664.0;79.9
OLMOS001;Olmos Cretaceous;09-01-2002 12:00:00;13;18.9;2327.0;86.1
OLMOS001;Olmos Cretaceous;09-01-2002 13:00:00;14;20.8;2294.0;82.3
OLMOS001;Olmos Cretaceous;09-01-2002 14:00:00;15;20.4;2259.0;76.6
OLMOS001;Olmos Cretaceous;09-01-2002 15:00:00;16;20.3;1540.0;77.1
OLMOS001;Olmos Cretaceous;09-01-2002 16:00:00;17;24.4;1113.0;74.9
OLMOS001;Olmos Cretaceous;09-01-2002 17:00:00;18;21.0;711.0;77.1
OLMOS001;Olmos Cretaceous;09-01-2002 18:00:00;19;24.2;6.0;62.7
OLMOS001;Olmos Cretaceous;09-01-2002 19:00:00;20;26.1;22.0;76.0
OLMOS001;Olmos Cretaceous;09-01-2002 20:00:00;21;23.1;0.0;74.8
OLMOS001;Olmos Cretaceous;09-01-2002 21:00:00;22;25.8;12.0;68.6
OLMOS001;Olmos Cretaceous;09-01-2002 22:00:00;23;23.8;11.0;72.0
OLMOS001;Olmos Cretaceous;09-01-2002 23:00:00;24;21.0;17.0;71.8
OLMOS001;Olmos Cretaceous;10-01-2002 00:00:00;1;22.1;8.0;73.8
OLMOS001;Olmos Cretaceous;10-01-2002 01:00:00;2;21.2;0.0;76.3
OLMOS001;Olmos Cretaceous;10-01-2002 02:00:00;3;19.6;0.0;88.9
OLMOS001;Olmos Cretaceous;10-01-2002 03:00:00;4;16.1;0.0;81.7
OLMOS001;Olmos Cretaceous;10-01-2002 04:00:00;5;16.4;33.0;73.9
OLMOS001;Olmos Cretaceous;10-01-2002 05:00:00;6;15.0;0.0;82.0
OLMOS001;Olmos Cretaceous;10-01-2002 06:00:00;7;16.1;0.0;87.2
OLMOS001;Olmos Cretaceous;10-01-2002 07:00:00;8;15.0;650.0;78.4
OLMOS001;Olmos Cretaceous;10-01-2002 08:00:00;9;16.2;1171.0;80.5
OLMOS001;Olmos Cretaceous;10-01-2002 09:00:00;10;15.0;1760.0;82.6
OLMOS001;Olmos Cretaceous;10-01-2002 10:00:00;11;15.0;2117.0;81.5
OLMOS001;Olmos Cretaceous;10-01-2002 11:00:00;12;19.6;2497.0;81.5
OLMOS001;Olmos Cretaceous;10-01-2002 12:00:00;13;18.8;2667.0;85.5
OLMOS001;Olmos Cretaceous;10-01-2002 13:00:00;14;17.0;2221.0;77.9
OLMOS001;Olmos Cretaceous;10-01-2002 14:00:00;15;23.0;2155.0;82.0
OLMOS001;Olmos Cretaceous;10-01-2002 15:00:00;16;20.4;1831.0;68.7
OLMOS001;Olmos Cretaceous;10-01-2002 16:00:00;17;22.5;983.0;69.4
OLMOS001;Olmos Cretaceous;10-01-2002 17:00:00;18;23.8;652.0;71.3
OLMOS001;Olmos Cretaceous;10-01-2002 18:00:00;19;23.0;0.0;73.1
OLMOS001;Olmos Cretaceous;10-01-2002 19:00:00;20;22.8;6.0;65.7
OLMOS001;Olmos Cretaceous;10-01-2002 20:00:00;21;24.6;0.0;71.0
OLMOS001;Olmos Cretaceous;10-01-2002 21:00:00;22;22.6;95.0;72.1
OLMOS001;Olmos Cretaceous;10-01-2002 22:00:00;23;22.7;0.0;72.5
OLMOS001;Olmos Cretaceous;10-01-2002 23:00:00;24;20.1;46.0;70.8
OLMOS001;Olmos Cretaceous;11-01-2002 00:00:00;1;22.2;0.0;75.7
OLMOS001;Olmos Cretaceous;11-01-2002 01:00:00;2;20.4;0.0;70.2
OLMOS001;Olmos Cretaceous;11-01-2002 02:00:00;3;19.7;0.0;77.4
OLMOS001;Olmos Cretaceous;11-01-2002 03:00:00;4;20.0;0.0;80.6
OLMOS001;Olmos Cretaceous;11-01-2002 04:00:00;5;16.0;83.0;84.0
OLMOS001;Olmos Cretaceous;11-01-2002 05:00:00;6;19.1;0.0;85.7
OLMOS001;Olmos Cretaceous;11-01-2002 06:00:00;7;18.2;13.0;87.1
OLMOS001;Olmos Cretaceous;11-01-2002 07:00:00;8;15.0;684.0;85.3
OLMOS001;Olmos Cretaceous;11-01-2002 08:00:00;9;15.6;1207.0;82.0
OLMOS001;Olmos Cretaceous;11-01-2002 09:00:00;10;15.5;1831.0;82.9
OLMOS001;Olmos Cretaceous;11-01-2002 10:00:00;11;16.1;2006.0;78.2
OLMOS001;Olmos Cretaceous;11-01-2002 11:00:00;12;18.4;2273.0;85.0
OLMOS001;Olmos Cretaceous;11-01-2002 12:00:00;13;18.5;2460.0;84.5
OLMOS001;Olmos Cretaceous;11-01-2002 13:00:00;14;20.2;2286.0;81.6
OLMOS001;Olmos Cretaceous;11-01-2002 14:00:00;15;19.9;2266.0;77.6
OLMOS001;Olmos Cretaceous;11-01-2002 15:00:00;16;21.2;1569.0;79.5
OLMOS001;Olmos Cretaceous;11-01-2002 16:00:00;17;22.8;1419.0;76.6
OLMOS001;Olmos Cretaceous;11-01-2002 17:00:00;18;24.1;653.0;73.4
OLMOS001;Olmos Cretaceous;11-01-2002 18:00:00;19;24.5;0.0;79.5
OLMOS001;Olmos Cretaceous;11-01-2002 19:00:00;20;22.4;0.0;74.6
OLMOS001;Olmos Cretaceous;11-01-2002 20:00:00;21;21.6;0.0;76.3
OLMOS001;Olmos Cretaceous;11-01-2002 21:00:00;22;26.8;3.0;77.0
OLMOS001;Olmos Cretaceous;11-01-2002 22:00:00;23;21.4;0.0;68.0
OLMOS001;Olmos Cretaceous;11-01-2002 23:00:00;24;22.5;20.0;69.7
OLMOS001;Olmos Cretaceous;12-01-2002 00:00:00;1;20.6;0.0;71.8
OLMOS001;Olmos Cretaceous;12-01-2002 01:00:00;2;22.0;64.0;71.0
OLMOS001;Olmos Cretaceous;12-01-2002 02:00:00;3;19.0;0.0;82.0
OLMOS001;Olmos Cretaceous;12-01-2002 03:00:00;4;17.7;55.0;77.4
OLMOS001;Olmos Cretaceous;12-01-2002 04:00:00;5;18.7;0.0;84.7
OLMOS001;Olmos Cretaceous;12-01-2002 05:00:00;6;16.1;83.0;77.7
OLMOS001;Olmos Cretaceous;12-01-2002 06:00:00;7;16.3;79.0;78.3
OLMOS001;Olmos Cretaceous;12-01-2002 07:00:00;8;16.3;705.0;92.6
OLMOS001;Olmos Cretaceous;12-01-2002 08:00:00;9;18.5;1341.0;81.4
OLMOS001;Olmos Cretaceous;12-01-2002 09:00:00;10;15.0;1584.0;95.0
OLMOS001;Olmos Cretaceous;12-01-2002 10:00:00;11;15.0;1971.0;87.8
OLMOS001;Olmos Cretaceous;12-01-2002 11:00:00;12;18.3;2382.0;82.7
OLMOS001;Olmos Cretaceous;12-01-2002 12:00:00;13;17.3;2350.0;83.0
OLMOS001;Olmos Cretaceous;12-01-2002 13:00:00;14;17.8;2548.0;76.2
OLMOS001;Olmos Cretaceous;12-01-2002 14:00:00;15;17.9;2124.0;80.3
OLMOS001;Olmos Cretaceous;12-01-2002 15:00:00;16;19.3;1644.0;79.7
OLMOS001;Olmos Cretaceous;12-01-2002 16:00:00;17;21.5;1139.0;72.5
OLMOS001;Olmos Cretaceous;12-01-2002 17:00:00;18;19.8;550.0;74.2
OLMOS001;Olmos Cretaceous;12-01-2002 18:00:00;19;26.2;30.0;70.8
OLMOS001;Olmos Cretaceous;12-01-2002 19:00:00;20;26.9;51.0;66.9
OLMOS001;Olmos Cretaceous;12-01-2002 20:00:00;21;23.4;37.0;74.4
OLMOS001;Olmos Cretaceous;12-01-2002 21:00:00;22;23.2;0.0;70.4
OLMOS001;Olmos Cretaceous;12-01-2002 22:00:00;23;22.3;0.0;75.1
OLMOS001;Olmos Cretaceous;12-01-2002 23:00:00;24;22.2;1.0;65.0
OLMOS001;Olmos Cretaceous;13-01-2002 00:00:00;1;20.6;0.0;73.9
OLMOS001;Olmos Cretaceous;13-01-2002 01:00:00;2;19.0;0.0;72.5
OLMOS001;Olmos Cretaceous;13-01-2002 02:00:00;3;20.1;0.0;76.8
OLMOS001;Olmos Cretaceous;13-01-2002 03:00:00;4;18.2;4.0;85.7
OLMOS001;Olmos Cretaceous;13-01-2002 04:00:00;5;17.7;47.0;82.4
OLMOS001;Olmos Cretaceous;13-01-2002 05:00:00;6;15.8;0.0;86.9
OLMOS001;Olmos Cretaceous;13-01-2002 06:00:00;7;17.9;2.0;82.6
OLMOS001;Olmos Cretaceous;13-01-2002 07:00:00;8;15.4;580.0;85.8
OLMOS001;Olmos Cretaceous;13-01-2002 08:00:00;9;15.5;1132.0;84.2
OLMOS001;Olmos Cretaceous;13-01-2002 09:00:00;10;15.0;1574.0;85.8
OLMOS001;Olmos Cretaceous;13-01-2002 10:00:00;11;16.6;1920.0;92.0
OLMOS001;Olmos Cretaceous;13-01-2002 11:00:00;12;16.0;2369.0;78.1
OLMOS001;Olmos Cretaceous;13-01-2002 12:00:00;13;17.6;2363.0;85.1
OLMOS001;Olmos Cretaceous;13-01-2002 13:00:00;14;19.7;2499.0;78.7
OLMOS001;Olmos Cretaceous;13-01-2002 14:00:00;15;22.4;2066.0;74.5
OLMOS001;Olmos Cretaceous;13-01-2002 15:00:00;16;23.3;1702.0;76.0
OLMOS001;Olmos Cretaceous;13-01-2002 16:00:00;17;22.9;1197.0;76.1
OLMOS001;Olmos Cretaceous;13-01-2002 17:00:00;18;23.6;621.0;73.8
OLMOS001;Olmos Cretaceous;13-01-2002 18:00:00;19;26.1;52.0;64.5
